Ratio	N	Clauses	MeanSatisfied	StdSatisfied	MeanFraction	StdFraction
4.26	4	17	17.00	0.00	1.000000	0.000000
4.26	8	34	34.00	0.00	1.000000	0.000000
4.26	16	68	68.00	0.00	1.000000	0.000000
4.26	32	136	136.00	0.00	1.000000	0.000000
4.26	64	272	272.00	0.00	1.000000	0.000000
4.26	128	545	545.00	0.00	1.000000	0.000000
4.26	256	1090	1090.00	0.00	1.000000	0.000000
4.26	512	2181	2159.00	0.00	0.989913	0.000000
4.26	1024	4362	4272.00	0.00	0.979367	0.000000
4.26	2048	8724	8505.00	0.00	0.974897	0.000000
4.26	4096	17448	17045.00	0.00	0.976903	0.000000
4.26	8192	34897	33999.00	0.00	0.974267	0.000000
4.26	16384	69795	68521.00	0.00	0.981747	0.000000
4.2	4	16	16.00	0.00	1.000000	0.000000
4.2	8	33	33.00	0.00	1.000000	0.000000
4.2	16	67	67.00	0.00	1.000000	0.000000
4.2	32	134	134.00	0.00	1.000000	0.000000
4.2	64	268	268.00	0.00	1.000000	0.000000
4.2	128	537	537.00	0.00	1.000000	0.000000
4.2	256	1075	1075.00	0.00	1.000000	0.000000
4.2	512	2150	2143.00	0.00	0.996744	0.000000
4.2	1024	4300	4216.00	0.00	0.980465	0.000000
4.2	2048	8601	8389.00	0.00	0.975352	0.000000
4.2	4096	17203	16725.00	0.00	0.972214	0.000000
4.2	8192	34406	33508.00	0.00	0.973900	0.000000
4.2	16384	68812	67343.00	0.00	0.978652	0.000000
4.0	4	16	16.00	0.00	1.000000	0.000000
4.0	8	32	32.00	0.00	1.000000	0.000000
4.0	16	64	64.00	0.00	1.000000	0.000000
4.0	32	128	128.00	0.00	1.000000	0.000000
4.0	64	256	256.00	0.00	1.000000	0.000000
4.0	128	512	512.00	0.00	1.000000	0.000000
4.0	256	1024	1024.00	0.00	1.000000	0.000000
4.0	512	2048	2048.00	0.00	1.000000	0.000000
4.0	1024	4096	4055.00	0.00	0.989990	0.000000
4.0	2048	8192	8099.00	0.00	0.988647	0.000000
4.0	4096	16384	16086.00	0.00	0.981812	0.000000
4.0	8192	32768	32198.00	0.00	0.982605	0.000000
4.0	16384	65536	64260.00	0.00	0.980530	0.000000
