variable,value
1,1
2,1
3,1
4,0
5,0
6,0
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,1
35,1
36,0
37,1
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,1
49,0
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,0
75,0
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,0
95,0
96,1
97,1
98,1
99,1
100,0
101,1
102,0
103,1
104,1
105,1
106,0
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,0
115,0
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,0
169,1
170,0
171,1
172,1
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,1
198,0
199,0
200,0
201,1
202,0
203,1
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,1
212,1
213,0
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,0
258,1
259,1
260,0
261,0
262,1
263,1
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,0
295,1
296,1
297,0
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,1
322,1
323,1
324,0
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,1
333,1
334,0
335,0
336,0
337,1
338,0
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,0
351,0
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,1
360,1
361,1
362,0
363,1
364,1
365,0
366,0
367,0
368,1
369,1
370,1
371,1
372,1
373,1
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,1
383,0
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,1
414,0
415,0
416,0
417,1
418,0
419,1
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,1
429,1
430,0
431,0
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,0
443,0
444,1
445,0
446,1
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,1
479,0
480,1
481,0
482,1
483,0
484,1
485,1
486,1
487,0
488,1
489,1
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,1
499,0
500,0
501,1
502,1
503,0
504,1
505,1
506,0
507,1
508,0
509,0
510,1
511,0
512,1
513,1
514,1
515,0
516,0
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,1
526,0
527,0
528,0
529,1
530,0
531,1
532,1
533,1
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,1
542,1
543,0
544,0
545,0
546,1
547,0
548,0
549,1
550,0
551,1
552,0
553,0
554,1
555,1
556,0
557,0
558,0
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,0
575,0
576,1
577,1
578,1
579,0
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,1
588,0
589,0
590,1
591,1
592,0
593,1
594,0
595,1
596,1
597,0
598,0
599,0
600,1
601,0
602,0
