Ratio	N	Clauses	MeanSatisfied	StdSatisfied	MeanFraction	StdFraction
4.26	4	17	17.00	0.00	1.000000	0.000000
4.26	8	34	34.00	0.00	1.000000	0.000000
4.26	16	68	68.00	0.00	1.000000	0.000000
4.26	32	136	136.00	0.00	1.000000	0.000000
4.26	64	272	272.00	0.00	1.000000	0.000000
4.26	128	545	545.00	0.00	1.000000	0.000000
4.26	256	1090	1090.00	0.00	1.000000	0.000000
4.26	512	2181	2181.00	0.00	1.000000	0.000000
4.26	1024	4362	4362.00	0.00	1.000000	0.000000
4.26	2048	8724	8724.00	0.00	1.000000	0.000000
4.26	4096	17448	17425.50	8.90	0.998710	0.000510
4.26	8192	34897	34366.25	43.66	0.984791	0.001251
4.26	16384	69795	66082.25	127.77	0.946805	0.001831
4.2	4	16	16.00	0.00	1.000000	0.000000
4.2	8	33	33.00	0.00	1.000000	0.000000
4.2	16	67	67.00	0.00	1.000000	0.000000
4.2	32	134	134.00	0.00	1.000000	0.000000
4.2	64	268	268.00	0.00	1.000000	0.000000
4.2	128	537	537.00	0.00	1.000000	0.000000
4.2	256	1075	1075.00	0.00	1.000000	0.000000
4.2	512	2150	2150.00	0.00	1.000000	0.000000
4.2	1024	4300	4300.00	0.00	1.000000	0.000000
4.2	2048	8601	8601.00	0.00	1.000000	0.000000
4.2	4096	17203	17188.25	3.96	0.999143	0.000230
4.2	8192	34406	33921.25	26.78	0.985911	0.000778
4.2	16384	68812	65238.00	163.44	0.948061	0.002375
4.0	4	16	16.00	0.00	1.000000	0.000000
4.0	8	32	32.00	0.00	1.000000	0.000000
4.0	16	64	64.00	0.00	1.000000	0.000000
4.0	32	128	128.00	0.00	1.000000	0.000000
4.0	64	256	256.00	0.00	1.000000	0.000000
4.0	128	512	512.00	0.00	1.000000	0.000000
4.0	256	1024	1024.00	0.00	1.000000	0.000000
4.0	512	2048	2048.00	0.00	1.000000	0.000000
4.0	1024	4096	4096.00	0.00	1.000000	0.000000
4.0	2048	8192	8192.00	0.00	1.000000	0.000000
4.0	4096	16384	16378.00	3.94	0.999634	0.000240
4.0	8192	32768	32377.75	27.56	0.988091	0.000841
4.0	16384	65536	62510.25	58.51	0.953831	0.000893
